,jewelry,diamond ring,earrings,bracelet,watch,Pandora,Tiffany & Co	,Swarovski,piercing,ring
2020-05-01,58.0,0.0,42.0,71.0,53.0,30.0,0.0,42.0,22.0,82.0
2020-05-02,58.0,0.0,92.0,69.0,66.0,47.0,0.0,70.0,30.0,79.0
2020-05-03,90.0,35.0,32.0,69.0,72.0,65.0,0.0,67.0,29.0,64.0
2020-05-04,52.0,0.0,40.0,49.0,55.0,41.0,0.0,67.0,51.0,68.0
2020-05-05,56.0,57.0,48.0,53.0,50.0,35.0,0.0,46.0,43.0,72.0
2020-05-06,46.0,31.0,42.0,50.0,53.0,49.0,0.0,63.0,35.0,71.0
2020-05-07,58.0,31.0,21.0,50.0,53.0,41.0,0.0,38.0,41.0,75.0
2020-05-08,61.0,31.0,52.0,41.0,54.0,46.0,0.0,25.0,28.0,70.0
2020-05-09,52.0,0.0,60.0,67.0,65.0,46.0,0.0,40.0,47.0,59.0
2020-05-10,63.0,67.0,84.0,61.0,84.0,26.0,0.0,63.0,27.0,76.0
2020-05-11,50.0,0.0,34.0,48.0,58.0,40.0,0.0,37.0,25.0,68.0
2020-05-12,54.0,30.0,48.0,67.0,54.0,40.0,0.0,57.0,22.0,55.0
2020-05-13,52.0,31.0,42.0,67.0,52.0,25.0,0.0,25.0,25.0,64.0
2020-05-14,43.0,31.0,32.0,57.0,59.0,24.0,0.0,13.0,25.0,68.0
2020-05-15,60.0,0.0,82.0,51.0,59.0,25.0,0.0,41.0,34.0,64.0
2020-05-16,58.0,37.0,41.0,51.0,83.0,30.0,0.0,49.0,34.0,65.0
2020-05-17,41.0,37.0,68.0,71.0,66.0,29.0,0.0,56.0,35.0,80.0
2020-05-18,78.0,0.0,70.0,84.0,59.0,26.0,0.0,37.0,31.0,87.0
2020-05-19,50.0,31.0,52.0,47.0,54.0,41.0,0.0,16.0,47.0,76.0
2020-05-20,65.0,31.0,21.0,52.0,50.0,30.0,0.0,30.0,22.0,55.0
2020-05-21,60.0,0.0,51.0,83.0,51.0,39.0,0.0,22.0,36.0,52.0
