,McDonalds,KFC,Pizza hut,Burger King,Wendy,A & W,St-Hubert,Métro,Domino,Taco Bell
2020-05-07,21.0,61.0,36.0,42.0,53.0,0.0,42.0,63.0,83.0,59.0
2020-05-08,19.0,50.0,56.0,35.0,31.0,28.0,58.0,60.0,63.0,20.0
2020-05-09,28.0,58.0,62.0,67.0,34.0,30.0,53.0,52.0,61.0,21.0
2020-05-10,24.0,89.0,71.0,46.0,34.0,30.0,100.0,31.0,34.0,0.0
2020-05-11,28.0,40.0,21.0,51.0,31.0,0.0,36.0,22.0,31.0,0.0
2020-05-12,28.0,22.0,26.0,31.0,31.0,0.0,33.0,52.0,43.0,19.0
2020-05-13,22.0,68.0,36.0,56.0,52.0,37.0,32.0,54.0,51.0,29.0
2020-05-14,29.0,37.0,39.0,39.0,16.0,28.0,35.0,59.0,45.0,20.0
2020-05-15,29.0,49.0,65.0,62.0,38.0,55.0,44.0,84.0,75.0,20.0
2020-05-16,19.0,70.0,57.0,54.0,31.0,44.0,44.0,74.0,60.0,47.0
2020-05-17,41.0,72.0,56.0,30.0,38.0,0.0,62.0,45.0,46.0,24.0
2020-05-18,27.0,45.0,35.0,50.0,17.0,47.0,42.0,50.0,28.0,66.0
2020-05-19,17.0,27.0,17.0,41.0,47.0,28.0,29.0,48.0,57.0,20.0
2020-05-20,21.0,27.0,27.0,28.0,37.0,28.0,43.0,52.0,38.0,0.0
2020-05-21,23.0,47.0,50.0,40.0,24.0,43.0,44.0,56.0,26.0,41.0
