,bague de fiançailles,robe de mariée,Marié,anniversaire de mariage,fiançaille,la mariée,en espèces,cérémonie,salle de mariage,engagement
2020-04-27,0.0,56.0,25.0,27.0,0.0,0.0,0.0,50.0,0.0,46.0
2020-04-28,0.0,20.0,26.0,28.0,0.0,0.0,0.0,0.0,0.0,52.0
2020-04-29,0.0,60.0,26.0,29.0,0.0,25.0,50.0,27.0,0.0,45.0
2020-04-30,0.0,18.0,35.0,39.0,0.0,23.0,45.0,0.0,37.0,36.0
2020-05-01,0.0,20.0,26.0,28.0,0.0,24.0,0.0,0.0,0.0,30.0
2020-05-02,0.0,23.0,41.0,33.0,0.0,0.0,0.0,0.0,0.0,23.0
2020-05-03,0.0,0.0,88.0,0.0,0.0,28.0,0.0,0.0,0.0,37.0
2020-05-04,0.0,0.0,24.0,26.0,0.0,0.0,0.0,25.0,0.0,25.0
2020-05-05,0.0,0.0,23.0,38.0,0.0,0.0,0.0,24.0,0.0,18.0
2020-05-06,0.0,39.0,51.0,28.0,0.0,0.0,0.0,0.0,0.0,35.0
2020-05-07,0.0,19.0,51.0,47.0,0.0,25.0,0.0,26.0,0.0,39.0
2020-05-08,0.0,19.0,51.0,28.0,0.0,24.0,0.0,0.0,39.0,39.0
2020-05-09,79.0,0.0,27.0,60.0,0.0,0.0,0.0,28.0,42.0,32.0
2020-05-10,0.0,21.0,28.0,0.0,0.0,27.0,0.0,0.0,0.0,47.0
2020-05-11,0.0,19.0,25.0,28.0,0.0,36.0,0.0,26.0,38.0,46.0
2020-05-12,0.0,19.0,37.0,27.0,0.0,24.0,0.0,26.0,0.0,38.0
2020-05-13,0.0,19.0,38.0,56.0,0.0,24.0,48.0,0.0,40.0,19.0
2020-05-14,0.0,19.0,51.0,56.0,0.0,0.0,0.0,66.0,0.0,17.0
2020-05-15,0.0,0.0,49.0,0.0,0.0,0.0,0.0,26.0,0.0,25.0
2020-05-16,0.0,0.0,30.0,33.0,0.0,29.0,0.0,31.0,0.0,77.0
2020-05-17,0.0,47.0,31.0,51.0,0.0,44.0,0.0,32.0,0.0,37.0
2020-05-18,0.0,0.0,28.0,31.0,0.0,27.0,0.0,29.0,0.0,34.0
2020-05-19,0.0,19.0,50.0,46.0,0.0,24.0,0.0,0.0,0.0,21.0
2020-05-20,0.0,19.0,43.0,71.0,0.0,0.0,0.0,27.0,40.0,44.0
2020-05-21,0.0,20.0,79.0,43.0,0.0,25.0,0.0,27.0,0.0,22.0
