,bangs,hairstyle,haircut,beard,mullet,moustache,shave,buzz cut,afro,shaving
2020-04-25,31.0,22.0,27.0,30.0,39.0,42.0,34.0,68.0,34.0,47.0
2020-04-26,86.0,31.0,43.0,42.0,0.0,58.0,64.0,32.0,32.0,29.0
2020-04-27,75.0,18.0,56.0,44.0,0.0,25.0,37.0,42.0,47.0,51.0
2020-04-28,70.0,19.0,66.0,38.0,66.0,18.0,39.0,29.0,20.0,0.0
2020-04-29,53.0,28.0,52.0,49.0,34.0,54.0,30.0,0.0,53.0,68.0
2020-04-30,48.0,17.0,43.0,42.0,0.0,32.0,35.0,27.0,30.0,73.0
2020-05-01,52.0,0.0,47.0,38.0,33.0,23.0,19.0,0.0,39.0,26.0
2020-05-02,31.0,22.0,55.0,42.0,0.0,52.0,0.0,35.0,23.0,0.0
2020-05-03,29.0,0.0,72.0,46.0,56.0,53.0,33.0,100.0,44.0,89.0
2020-05-04,25.0,18.0,44.0,36.0,31.0,33.0,18.0,28.0,24.0,25.0
2020-05-05,24.0,0.0,46.0,34.0,0.0,27.0,26.0,0.0,26.0,0.0
2020-05-06,78.0,0.0,27.0,30.0,33.0,35.0,20.0,29.0,39.0,0.0
2020-05-07,39.0,28.0,52.0,38.0,0.0,29.0,29.0,0.0,29.0,79.0
2020-05-08,26.0,0.0,43.0,42.0,0.0,43.0,38.0,0.0,32.0,26.0
2020-05-09,28.0,20.0,45.0,24.0,0.0,44.0,41.0,0.0,41.0,28.0
2020-05-10,28.0,40.0,50.0,24.0,35.0,19.0,21.0,0.0,28.0,86.0
2020-05-11,38.0,27.0,60.0,22.0,32.0,28.0,47.0,28.0,31.0,38.0
2020-05-12,25.0,36.0,49.0,27.0,0.0,68.0,0.0,42.0,31.0,26.0
2020-05-13,52.0,18.0,69.0,30.0,97.0,44.0,67.0,29.0,19.0,66.0
2020-05-14,26.0,19.0,46.0,38.0,100.0,35.0,29.0,29.0,58.0,0.0
2020-05-15,51.0,54.0,46.0,34.0,0.0,46.0,19.0,28.0,38.0,26.0
2020-05-16,92.0,33.0,59.0,39.0,77.0,41.0,46.0,35.0,23.0,78.0
2020-05-17,31.0,0.0,70.0,30.0,40.0,35.0,94.0,35.0,31.0,32.0
2020-05-18,29.0,20.0,60.0,25.0,0.0,39.0,21.0,32.0,28.0,29.0
2020-05-19,43.0,0.0,30.0,42.0,0.0,29.0,28.0,0.0,29.0,65.0
2020-05-20,26.0,19.0,66.0,28.0,33.0,24.0,39.0,0.0,49.0,27.0
2020-05-21,40.0,0.0,56.0,23.0,0.0,27.0,60.0,0.0,40.0,27.0
