,solar energy,climate change,global warming,pollution,Greta,recycling	,waste,sustainability,us epa,covid pollution
2020-05-07,0.0,19.0,0.0,19.0,3.0,22.0,35.0,27.0,0.0,0.0
2020-05-08,41.0,19.0,38.0,19.0,4.0,19.0,41.0,0.0,0.0,47.0
2020-05-09,0.0,0.0,0.0,31.0,6.0,31.0,20.0,0.0,0.0,0.0
2020-05-10,0.0,41.0,0.0,21.0,5.0,32.0,50.0,0.0,0.0,51.0
2020-05-11,40.0,28.0,0.0,38.0,4.0,43.0,27.0,40.0,0.0,0.0
2020-05-12,0.0,0.0,0.0,10.0,4.0,50.0,64.0,0.0,0.0,46.0
2020-05-13,0.0,25.0,0.0,10.0,3.0,0.0,21.0,36.0,0.0,0.0
2020-05-14,42.0,26.0,39.0,20.0,6.0,49.0,49.0,28.0,0.0,0.0
2020-05-15,0.0,25.0,0.0,0.0,15.0,43.0,41.0,54.0,0.0,0.0
2020-05-16,0.0,23.0,0.0,17.0,9.0,23.0,60.0,32.0,0.0,0.0
2020-05-17,100.0,23.0,0.0,12.0,5.0,27.0,56.0,33.0,0.0,57.0
2020-05-18,46.0,0.0,0.0,16.0,7.0,38.0,36.0,0.0,0.0,0.0
2020-05-19,0.0,29.0,38.0,29.0,4.0,36.0,41.0,27.0,0.0,0.0
2020-05-20,0.0,39.0,0.0,29.0,9.0,52.0,77.0,0.0,0.0,0.0
