,Photoshop,Adobe,winrar,Java,VLC,avast,FileHippo,SÈVE,Shopify,Zoom
2020-05-04,81.0,61.0,71.0,65.0,60.0,42.0,0.0,0.0,25.0,54.0
2020-05-05,39.0,62.0,0.0,61.0,47.0,32.0,0.0,32.0,39.0,59.0
2020-05-06,63.0,53.0,43.0,75.0,58.0,35.0,0.0,52.0,81.0,65.0
2020-05-07,47.0,81.0,57.0,54.0,52.0,18.0,77.0,69.0,100.0,62.0
2020-05-08,62.0,100.0,66.0,57.0,46.0,29.0,0.0,69.0,62.0,61.0
2020-05-09,54.0,41.0,60.0,43.0,55.0,37.0,0.0,0.0,28.0,38.0
2020-05-10,50.0,45.0,46.0,29.0,43.0,29.0,0.0,0.0,24.0,47.0
2020-05-11,61.0,64.0,55.0,60.0,56.0,23.0,0.0,0.0,37.0,66.0
2020-05-12,23.0,83.0,41.0,57.0,61.0,46.0,0.0,34.0,45.0,64.0
2020-05-13,46.0,81.0,28.0,53.0,43.0,18.0,0.0,0.0,40.0,61.0
2020-05-14,43.0,61.0,28.0,77.0,52.0,53.0,0.0,0.0,43.0,64.0
2020-05-15,50.0,64.0,28.0,72.0,34.0,43.0,0.0,0.0,38.0,62.0
2020-05-16,23.0,61.0,33.0,40.0,88.0,21.0,0.0,0.0,27.0,28.0
2020-05-17,43.0,21.0,68.0,43.0,52.0,21.0,0.0,0.0,21.0,38.0
2020-05-18,43.0,49.0,31.0,52.0,44.0,32.0,0.0,0.0,22.0,32.0
2020-05-19,46.0,61.0,56.0,57.0,62.0,17.0,0.0,0.0,35.0,67.0
2020-05-20,43.0,65.0,29.0,66.0,52.0,18.0,78.0,52.0,45.0,61.0
2020-05-21,44.0,59.0,29.0,58.0,36.0,36.0,0.0,0.0,52.0,66.0
