,Justin Trudeau,Celine Dion,Ryan Renolds,Doug Ford,Francois Legault ,Valerie Plante,Donald Trump,Joe Biden,Pierre Arcand,Horacio Arruda
2020-04-19,13.0,75.0,0.0,6.0,11.0,12.0,37.0,9.0,0.0,5.0
2020-04-20,8.0,15.0,0.0,4.0,42.0,11.0,32.0,6.0,0.0,8.0
2020-04-21,16.0,11.0,0.0,8.0,21.0,11.0,29.0,6.0,0.0,16.0
2020-04-22,16.0,12.0,0.0,4.0,22.0,11.0,26.0,6.0,0.0,12.0
2020-04-23,10.0,16.0,0.0,8.0,27.0,33.0,18.0,6.0,0.0,9.0
2020-04-24,11.0,11.0,84.0,11.0,24.0,23.0,57.0,5.0,0.0,11.0
2020-04-25,8.0,15.0,0.0,5.0,21.0,27.0,59.0,14.0,0.0,18.0
2020-04-26,12.0,22.0,91.0,7.0,12.0,13.0,35.0,10.0,0.0,14.0
2020-04-27,10.0,12.0,0.0,18.0,49.0,16.0,31.0,13.0,49.0,9.0
2020-04-28,23.0,8.0,0.0,11.0,35.0,11.0,30.0,17.0,51.0,22.0
2020-04-29,13.0,9.0,0.0,12.0,22.0,23.0,26.0,15.0,52.0,15.0
2020-04-30,12.0,15.0,0.0,7.0,23.0,35.0,21.0,10.0,0.0,20.0
2020-05-01,8.0,10.0,0.0,16.0,13.0,11.0,20.0,16.0,0.0,14.0
2020-05-02,7.0,12.0,0.0,9.0,6.0,13.0,19.0,14.0,60.0,9.0
2020-05-03,9.0,16.0,0.0,5.0,10.0,13.0,15.0,14.0,0.0,5.0
2020-05-04,23.0,11.0,0.0,8.0,18.0,18.0,18.0,3.0,48.0,7.0
2020-05-05,7.0,7.0,0.0,8.0,19.0,10.0,19.0,8.0,0.0,7.0
2020-05-06,7.0,10.0,0.0,7.0,15.0,29.0,19.0,6.0,50.0,12.0
2020-05-07,8.0,7.0,0.0,9.0,18.0,15.0,27.0,3.0,0.0,14.0
2020-05-08,7.0,9.0,81.0,8.0,13.0,23.0,18.0,7.0,0.0,23.0
2020-05-09,10.0,15.0,0.0,9.0,7.0,12.0,26.0,13.0,0.0,12.0
2020-05-10,6.0,13.0,0.0,4.0,11.0,12.0,13.0,6.0,0.0,9.0
2020-05-11,6.0,33.0,0.0,12.0,14.0,28.0,25.0,3.0,49.0,16.0
2020-05-12,11.0,14.0,0.0,13.0,11.0,18.0,24.0,7.0,49.0,100.0
2020-05-13,5.0,9.0,0.0,9.0,19.0,23.0,22.0,9.0,0.0,96.0
2020-05-14,7.0,13.0,83.0,25.0,23.0,53.0,24.0,6.0,51.0,24.0
2020-05-15,7.0,12.0,81.0,10.0,15.0,33.0,21.0,10.0,50.0,22.0
2020-05-16,12.0,12.0,98.0,9.0,8.0,36.0,27.0,4.0,0.0,10.0
2020-05-17,10.0,9.0,0.0,5.0,10.0,0.0,24.0,4.0,0.0,13.0
2020-05-18,6.0,11.0,0.0,9.0,11.0,19.0,22.0,7.0,0.0,29.0
2020-05-19,7.0,7.0,0.0,10.0,15.0,0.0,27.0,9.0,0.0,10.0
2020-05-20,10.0,8.0,0.0,4.0,11.0,11.0,16.0,6.0,0.0,7.0
2020-05-21,9.0,10.0,0.0,6.0,12.0,23.0,16.0,6.0,0.0,5.0
